Low Reservoir																																																																																																																											
50	40	40	40	30	28	20	6.75	7.2	7.2	7.2	30	35	30	30	35	35	7.2	30	7.2	35	35	30	25	25	30	35	25	25	25	35	35	35	30	25	25	25	7	25	25	25	38	25	25	25	25	22.5	30	30	22.5	9	30	30	7.2	30	30	35	45	30	30	30	30	42	42	30	30	30	30	42	30	30																																																					
55	50	30	30	30	30	30	30	25	20	15	40	30	20	7.2	30	35	7.2	25	25	30	30	35	7.2	25	25	30	50	35	35	35	35	35	50	35	35	35	35	7.2	7.2	25	25	25	25	25	25	30	35	30	7.2	30	30	25	30	25	30	30	25	25	30	25	25	14	30	30	42	13.5	30	30	45																																																						
25	25	25	25	25	25	25	25	25	20	20	20	20	20	20	20	15	15	15	15	15	30	30	30	30	30	30	30	20	20	50	30	50	30	30	35	35	30	30	7.2	35	35	35	35	25	35	30	7.2	35	35	35	25	38	30	25	25	25	25	25	38	25	13.5	38	25	25	25	25	25	25	25	36	36	25	38	45	45	22.5	30	30	30	9	30	30	25	38	38	30	7.2	45	35	35	35	7.2																															
25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	20	15	15	15	15	15	12	12	12	50	50	20	15	10	25	25	30	50	25	25	30	30	30	25	55	20	30	7.2	7.2	30	7.2	50	25	35	35	25	38	25	38	38	38	38	25	25	25	25	25	30	7.2	30	38	25	7.2	25	25	25	25	25	25	30	25	25	25	25	25	25	25	25	25	25	25	30	30	7.2	45	30	30	30	30	30	9	9	30	25	30	7.2	45	30	40	30	22.5	45	45	45	25														
30	30	30	25	25	25	25	25	25	25	25	25	25	25	25	20	20	20	20	20	17.5	17.5	17.5	15	15	15	15	12.5	12	12	12	12	10	50	30	30	25	50	55	7.2	30	30	28	25	30	30	25	30	50	50	55	7	7	30	50	40	25	30	30	50	25	25	20	35	35	35	35	35	35	7.2	30	29.88	30	35	35	35	25	25	25	25	30	38	40	25	25	25	60	25	25	25	25	25	25	30	25	25	13.5	45	45	45	30	9	45	45	45	45	45	25	7.2	25	45	45	30	25	25	25	45	25	25	25	25	25	7.2	9
50	50	50	25	25	25	25	25	25	25	23.75	20	20	20	20	20	20	20	18	15	15	13.33	13	12	12	12	12	12	12	12	50	30	12	7.2	25	30	25	30	30	7	39.34	32.79	30	30	20	20	25	30	30	35	35	35	35	35	35	30	35	35	35	25	25	25	25	35	35	25	7.2	38	30	25	25	25	25	25	11.98	25	25	13.5	25	25	25	25	7.2	45	45	45	9	25	25	20	20	25	30	7.2	13.5	45	30																											
50	30	25	25	20	20	20	20	20	20	20	20	20	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	12	12	12	7	7	25	12	12	20	20	25	25	30	30	35	30	30	30	30	30	25	25	30	30	7.2	35	35	35	25	75	38	7.2	25	38	30	25	9	25	25	25	25	25	25	30	9	30	20	20	45	45	45	45	7.2	25	50																																			
60	60	35	30	27	25	25	25	25	20	20	20	20	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	30	20	20	20	25	25	30	12	25	9	7	30	25	20	30	7.2	30	30	50	25	25	7.2	30	30	30	30	30	7.2	7.2	30	7.2	35	35	35	38	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	27.5	7.2	7.2	20	13.5	45	30	7.2	30																			
55	55	55	50	50	50	50	17.5	17.5	17.5	15	15	15	15	15	15	15	30	30	30	30	25	25	25	25	25	20	7.2	6.75	17.5	30	7.2	35	35	20	25	30	30	25	25	25	25	25	25	25	25	38	25	10	25	25	13.5	25	25	7.2	45	45	7.2	45	37.5																																																																
50	15	15	25	40	25	7.2	17.5	30	30	30	30	22.5	13.5	30	35	30	35	35	22.5	25	25	13.5	25	25	22.5	25	25	25	25	7.2	25	38	25	25	25	25	25	25	25	25	25	25	25	25	9	25	25	25	25	25	30	25	25	25	25	25	25	30	25	25	25	25	7.2	7.2	45																																																										
50	15	50	50	35	20	6.75	30	7.2	30	25	35	35	30	30	25	25	30	7.2	25	7.2	9	38	30	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	9	25	25	25	25	25	25	25	25	25	30	25	25	30	30	7.2	7.2	7.2	30																																																																		
55	55	50	25	15	6.75	20	20	25	25	10	30	7.2	30	30	30	30	50	25	25	30	30	25	30	30	38	25	25	25	9	25	25	9	30	25	25	25	25	25	30	30	9	25	25	9	9	25	25	9	45	45	7.2	45	45	45	30	25	7.2	25																																																																	
High Reservoir																																																																																																																											
15	10	10	20	20	12	10	10	25	25	20	20	20	20	20	15																																																																																																												
15	20	20	20	16	16	15	15	15	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	10	10	27	25	25	25	25	25	25	25	25	25	25	25	20	20	20	20	20	20	20	20	20	15	15	15	12	10	10	30	25																																																																				
20	20	20	20	20	15	15	15	15	15	15	15	15	15	15	15	12	12	12	12	12	12	11	11	11	11	11	11	11	11	11	10	10	10	10	10	10	25	7.2	25	25	45	45	30	7.2	7.2	25	25	25	25	25	25	25																																																																							
35	20	20	15	10	10	10	10	10	10	25	25	25	20	20	20	18	18	17.5	17.5	17.5	17.5	15	15	15	15	15	15	15	15	15	15	15	13	12.5	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	11	11	11	11	11	11																																																																	
